"filename", "language", "JSON", "JSON with Comments", "Markdown", "Pug", "JavaScript", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\kiwi_\Documents\Programming\Forecast\.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 55, 0, 0, 0, 1, 56
"c:\Users\kiwi_\Documents\Programming\Forecast\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kiwi_\Documents\Programming\Forecast\build\app.js", "JavaScript", 0, 0, 0, 0, 49, 0, 0, 1, 1, 51
"c:\Users\kiwi_\Documents\Programming\Forecast\build\controllers\ExcelDateToJSDate.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\kiwi_\Documents\Programming\Forecast\build\controllers\getNewWorkbookItemInspections.js", "JavaScript", 0, 0, 0, 0, 56, 0, 0, 1, 1, 58
"c:\Users\kiwi_\Documents\Programming\Forecast\build\controllers\getOldWorkbookItemInspections.js", "JavaScript", 0, 0, 0, 0, 71, 0, 0, 1, 1, 73
"c:\Users\kiwi_\Documents\Programming\Forecast\build\controllers\getRequestedYearUnits.js", "JavaScript", 0, 0, 0, 0, 63, 0, 0, 3, 1, 67
"c:\Users\kiwi_\Documents\Programming\Forecast\build\controllers\init.js", "JavaScript", 0, 0, 0, 0, 115, 0, 0, 7, 1, 123
"c:\Users\kiwi_\Documents\Programming\Forecast\build\controllers\inspectionLimits.js", "JavaScript", 0, 0, 0, 0, 40, 0, 0, 3, 1, 44
"c:\Users\kiwi_\Documents\Programming\Forecast\build\controllers\inspectionList.js", "JavaScript", 0, 0, 0, 0, 49, 0, 0, 0, 1, 50
"c:\Users\kiwi_\Documents\Programming\Forecast\build\controllers\matrix.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\kiwi_\Documents\Programming\Forecast\build\controllers\matrixController.js", "JavaScript", 0, 0, 0, 0, 229, 0, 0, 2, 1, 232
"c:\Users\kiwi_\Documents\Programming\Forecast\build\controllers\retrieveInformation.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 4, 1, 16
"c:\Users\kiwi_\Documents\Programming\Forecast\build\controllers\retrieveMVIInformation.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\kiwi_\Documents\Programming\Forecast\build\controllers\sanitizeCompanyName.js", "JavaScript", 0, 0, 0, 0, 57, 0, 0, 0, 1, 58
"c:\Users\kiwi_\Documents\Programming\Forecast\build\controllers\sanitizeUnitInspections.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"c:\Users\kiwi_\Documents\Programming\Forecast\build\controllers\sanitizeUnitName.js", "JavaScript", 0, 0, 0, 0, 19, 0, 0, 23, 1, 43
