"filename", "language", "Pug", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\kiwi_\Documents\Programming\Forecast\src\app.ts", "TypeScript", 0, 44, 0, 1, 20, 65
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\ExcelDateToJSDate.ts", "TypeScript", 0, 5, 0, 0, 3, 8
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\getNewWorkbookItemInspections.ts", "TypeScript", 0, 45, 0, 1, 11, 57
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\getOldWorkbookItemInspections.ts", "TypeScript", 0, 54, 0, 1, 12, 67
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\getRequestedYearUnits.ts", "TypeScript", 0, 61, 0, 3, 20, 84
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\init.ts", "TypeScript", 0, 112, 0, 7, 31, 150
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\inspectionLimits.ts", "TypeScript", 0, 39, 0, 3, 3, 45
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\inspectionList.ts", "TypeScript", 0, 48, 0, 0, 2, 50
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\matrixController.ts", "TypeScript", 0, 198, 0, 2, 39, 239
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\retrieveInformation.ts", "TypeScript", 0, 10, 0, 4, 6, 20
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\retrieveMVIInformation.ts", "TypeScript", 0, 9, 0, 0, 7, 16
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\sanitizeCompanyName.ts", "TypeScript", 0, 32, 0, 0, 4, 36
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\sanitizeUnitInspections.ts", "TypeScript", 0, 17, 0, 0, 6, 23
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\sanitizeUnitName.ts", "TypeScript", 0, 17, 0, 23, 15, 55
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\sortMonthUnitsByCustomer.ts", "TypeScript", 0, 20, 0, 0, 7, 27
"c:\Users\kiwi_\Documents\Programming\Forecast\src\models\CustomInspection.ts", "TypeScript", 0, 13, 0, 1, 3, 17
"c:\Users\kiwi_\Documents\Programming\Forecast\src\models\CustomStyle.ts", "TypeScript", 0, 10, 0, 0, 3, 13
"c:\Users\kiwi_\Documents\Programming\Forecast\src\models\CustomUnit.ts", "TypeScript", 0, 13, 0, 1, 3, 17
"c:\Users\kiwi_\Documents\Programming\Forecast\src\models\MissedUnits.ts", "TypeScript", 0, 13, 0, 0, 3, 16
"c:\Users\kiwi_\Documents\Programming\Forecast\src\models\Schedule.ts", "TypeScript", 0, 19, 0, 0, 3, 22
"c:\Users\kiwi_\Documents\Programming\Forecast\src\models\Unit.ts", "TypeScript", 0, 12, 0, 0, 3, 15
"c:\Users\kiwi_\Documents\Programming\Forecast\src\public\css\style.css", "CSS", 0, 0, 206, 25, 59, 290
"c:\Users\kiwi_\Documents\Programming\Forecast\src\public\css\unitStyling.css", "CSS", 0, 0, 61, 159, 48, 268
"c:\Users\kiwi_\Documents\Programming\Forecast\src\public\js\clearUnitSchedule.ts", "TypeScript", 0, 16, 0, 0, 5, 21
"c:\Users\kiwi_\Documents\Programming\Forecast\src\public\js\create.ts", "TypeScript", 0, 11, 0, 0, 5, 16
"c:\Users\kiwi_\Documents\Programming\Forecast\src\public\js\deleteUnit.ts", "TypeScript", 0, 14, 0, 0, 4, 18
"c:\Users\kiwi_\Documents\Programming\Forecast\src\public\js\editUnit.ts", "TypeScript", 0, 85, 0, 12, 34, 131
"c:\Users\kiwi_\Documents\Programming\Forecast\src\public\js\getSchedule.ts", "TypeScript", 0, 52, 0, 17, 22, 91
"c:\Users\kiwi_\Documents\Programming\Forecast\src\public\js\init.ts", "TypeScript", 0, 9, 0, 0, 3, 12
"c:\Users\kiwi_\Documents\Programming\Forecast\src\public\js\months.ts", "TypeScript", 0, 1, 0, 0, 1, 2
"c:\Users\kiwi_\Documents\Programming\Forecast\src\public\js\selectorSystem.ts", "TypeScript", 0, 123, 0, 4, 30, 157
"c:\Users\kiwi_\Documents\Programming\Forecast\src\public\js\shopDropDown.ts", "TypeScript", 0, 26, 0, 19, 16, 61
"c:\Users\kiwi_\Documents\Programming\Forecast\src\routes\api.ts", "TypeScript", 0, 13, 0, 0, 11, 24
